year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2021,Nanyang Technological University,College of Engineering,Double Degree in Engineering and Economics ^,90.9,90.9,4485.0,4580.0,4566.0,4583.0,4530.0,4900.0
2021,Nanyang Technological University,College of Engineering,Electrical and Electronic Engineering,93.9,88.6,3978.0,3900.0,4069.0,4000.0,3600.0,4400.0
2021,Nanyang Technological University,College of Engineering,Environmental Engineering,96.6,86.2,3422.0,3500.0,3487.0,3500.0,3200.0,3600.0
2021,Nanyang Technological University,College of Engineering,Information Engineering and Media,95.7,88.6,4247.0,4200.0,4325.0,4200.0,3900.0,4800.0
2021,Nanyang Technological University,College of Engineering,Maritime Studies,98.4,95.2,3697.0,3500.0,3763.0,3500.0,3500.0,4000.0
2021,Nanyang Technological University,College of Engineering,Materials Engineering,96.3,83.0,3701.0,3600.0,3801.0,3650.0,3500.0,4000.0
2021,Nanyang Technological University,College of Engineering,Mechanical Engineering,94.0,86.1,3845.0,3700.0,4006.0,3800.0,3570.0,4400.0
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design and Media",86.2,46.6,3146.0,3000.0,3182.0,3000.0,2650.0,3675.0
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,87.0,72.5,3376.0,3250.0,3483.0,3300.0,3053.0,3650.0
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,96.9,80.8,3463.0,3375.0,3548.0,3500.0,3000.0,3943.0
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics (4-years programme),93.5,88.3,3658.0,3500.0,3720.0,3650.0,3300.0,4000.0
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,95.5,64.2,3254.0,3300.0,3354.0,3500.0,3000.0,3600.0
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",History,82.2,66.7,3724.0,3675.0,3800.0,3675.0,3500.0,4000.0
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Inter-Disciplinary Double Major ^,92.9,75.0,3794.0,3650.0,3822.0,3650.0,3450.0,4180.0
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,87.2,70.2,3351.0,3300.0,3398.0,3300.0,3000.0,3850.0
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Philosophy,88.5,57.7,3394.0,3400.0,3502.0,3400.0,2915.0,4480.0
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,91.8,71.8,3342.0,3300.0,3362.0,3350.0,3000.0,3500.0
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Public Policy and Global Affairs,83.3,77.1,4024.0,3778.0,4105.0,3804.0,3500.0,4524.0
